rank,word,lemma,occurrences_ppm
778,pruebe',pruebe',134.41655151648754
779,new,new,134.41655151648754
780,pego,pego,134.41655151648754
781,dj,dj,134.41655151648754
782,sabiendo,sabiendo,134.41655151648754
783,diles,diles,134.41655151648754
784,muchas,muchas,134.41655151648754
785,salen,salen,134.41655151648754
786,tenemo',tenemo',134.41655151648754
787,pasé,pasé,134.41655151648754
788,parece,parece,134.41655151648754
789,verda',verda',134.41655151648754
790,fin,fin,134.41655151648754
791,será,será,134.41655151648754
792,bitch,bitch,134.41655151648754
793,jajajaja,jajajaja,134.41655151648754
794,romperla,romperla,134.41655151648754
795,tenga,tenga,134.41655151648754
796,tiran,tiran,134.41655151648754
797,high,high,134.41655151648754
798,solamente,solamente,134.41655151648754
799,cuándo,cuándo,134.41655151648754
800,leyenda,leyenda,134.41655151648754
801,ticket,ticket,134.41655151648754
802,envidioso',envidioso',134.41655151648754
803,único,único,134.41655151648754
804,ku,ku,134.41655151648754
805,acabe,acabe,134.41655151648754
806,jevo,jevo,134.41655151648754
807,otras,otras,134.41655151648754
808,almighty,almighty,134.41655151648754
809,perdió,perdió,129.03988945582805
810,esas,esas,129.03988945582805
811,tenía,tenía,129.03988945582805
812,cualquier,cualquier,129.03988945582805
813,piel,piel,129.03988945582805
814,vaya,vaya,129.03988945582805
815,infierno,infierno,129.03988945582805
816,pasado,pasado,129.03988945582805
817,quédate,quédate,129.03988945582805
818,mato,mato,129.03988945582805
819,baile,baile,129.03988945582805
820,arte,arte,129.03988945582805
821,let,let,129.03988945582805
822,llamar,llamar,129.03988945582805
823,kobe,kobe,129.03988945582805
824,esto',esto',129.03988945582805
825,rocky,rocky,129.03988945582805
826,from,from,129.03988945582805
827,cel,cel,129.03988945582805
828,beso',beso',129.03988945582805
829,think,think,129.03988945582805
830,puesta,puesta,129.03988945582805
831,menos,menos,129.03988945582805
832,than,than,129.03988945582805
833,quito,quito,129.03988945582805
834,ellos,ellos,129.03988945582805
